,model,LH,AICc,Lambda,Alpha,Mu,Beta,dAICc
7,BTemp,-234.167077826145,472.475332122879,0.125509389749153,0.0829287891408805,NA,NA,0
1,BConst,-235.750190125542,473.546891878991,0.1796875,NA,NA,NA,1.07155975611198
8,BTempDConst,-234.167101222551,474.619916730817,0.125423373007611,0.082969230753384,4.7980352419824e-07,NA,2.14458460793759
2,BTime,-235.673795743514,475.488767957615,0.186488104785276,-0.00716819888159081,NA,NA,3.0134358347363
3,BDConst,-235.745628573955,475.632433618498,0.179638753140892,NA,8.70152364213596e-08,NA,3.15710149561909
10,BDTemp,-234.167075864751,476.816079440345,0.125549090881209,0.0828613993812561,3.65495444624927e-08,0.0156273876808071,4.34074731746585
4,BTimeDConst,-235.673809595962,477.633333477637,0.186435954207384,-0.0071012092561209,1.19116972663368e-07,NA,5.1580013547582
5,BConstDTime,-235.745635376932,477.776985039579,0.179652902323419,NA,-2.5975523188495e-07,-0.0499288650658016,5.30165291669954
9,BConstDTemp,-235.750185480768,477.786085247249,0.179610082049983,NA,-1.18786540775481e-07,-0.00155702176429631,5.31075312437014
6,BDTime,-235.673799764001,479.829527238846,0.18651264432551,-0.00718748180868623,-1.80552461562075e-07,0.0259060408745147,7.35419511596643
